Product_brand,Product_category,Product_details,Product_name,Product_price,Product_rating,Product_size,Top_category,Tot_reviews
J.Cat Beauty,Lips,"J.Cat Beauty's Eternal Shine Lip Glaze will instantly give you fuller looking lips with a radiant shine. Choose from a variety of pigmented colors with a moisturizing formula consisting of vitamin E and other beneficial components that will keep your lips hydrated and brilliant. Free of phthalate, triclosan, GMOs, and sulfate.",Online Only Eternal Shine Lip Glaze,$2.99,4.10 out of 5 stars,Size 0.23 oz,Makeup,13
Essence,Lips,"Be the shiny star! The Essence Shine Shine Shine Lip Gloss gives your lips an incredible shine, leaving them with an amazing light-reflecting wet-look finish. The super smooth sensorial texture feels cushiony on the lips and features an array of creamy nudes, shimmering pinks, prismatic bright shades and bold darks. The flocked applicator allows for extra soft gliding and precise application thanks to its special heart shape.",Plump Me Up Shine Shine Shine Lipgloss,$3.29,,Size 0.16 oz,Makeup,
Lipstick Queen,Lips,It's Madly Wonderful.,Method In The Madness Lipstick,$17.97,4.40 out of 5 stars,Size 0.12 oz,Makeup,13
J.Cat Beauty,Lips,"J.Cat Beauty's Roll It Up Auto Lip Liner protects your lips from unwanted lip smears and smudges and is available in various colors to match your favorite fantabulous lipstick. Formulated with refreshing coconut oil to keep your lips fresh and moisturized. Get more product without a sharpener and simply twist the pencil and apply onto your lips. Hydrates with coconut oils. Free of phthalate, triclosan, GMOs, and sulfate.",Online Only Roll It Up Auto Lip Liner,$2.99,3.00 out of 5 stars,Size 0.01 oz,Makeup,4
FLOWER Beauty,Lips,Only at ULTA!,Pop Fanatic Vinyl Lip,$9.99,3.90 out of 5 stars,Size 0.18 oz,Makeup,76
Lipstick Queen,Lips,"From the game of life and the game of lipsticks comes Lipstick Chess by none other than Lipstick Queen. Fantastic, full coverage shades that represent a new take on modern must-haves. Brightening up the dark and accelerating the nude, this lipstick redefines what it means to wear matte thanks its super hydrating, suede-feel formula. Enriched with natural oils, waxes and anti-oxidant vitamin E, these smooth, luxe and comfortable lipsticks are super-charged and power-packed, with a matte finish that doesn¿t dry out your lips. Beauty and brains combined in a lipstick.",Lipstick Chess,$16.97,4.50 out of 5 stars,Size 0.12 oz,Makeup,60
L.A. Girl,Lips,"Starting at center of lips, apply lip color in a side to side motion to upper and lower lips. Reapply as desired.",Lip Mousse,$5.99,,Size 0.236 oz,Makeup,
Thrive Causemetics,Lips,"Meet the perfect match for your favorite lip color or bare pout, Lip Mate High-Shine Reviving Topper, powered by Thrive Causemetics proprietary Vegan Collagen Complex, which combines lip-loving oils to hydrate and plump your lips.",Lip Mate High-Shine Reviving Topper,$24.00,5.00 out of 5 stars,Size 0.23 oz,Makeup,3
L.A. Girl,Lips,"Glossy lips are back in this sleek, magnetic component. Infused with vitamin E, L.A. Girl Lip Attraction is a hybrid-gloss formula that's hydrating and highly-pigmented for ultra creamy, full coverage color.",Lip Attraction,$5.99,,Size 0.113 oz,Makeup,
Burt's Bees,Lips,"Burt's Bees Moisturizing Gloss Lip Crayon glides on smoothly to deliver a beautiful lush gloss color. The moisture rich chubby crayon comes in a variety of shades and provides medium to full coverage and 8 hour moisture, leaving lips soft and hydrated. The Tahitian Sunset shade is a bold fuchsia color with pink accents in a glossy finish. This everyday wear formula is infused with natural Kendi Oil, Jojoba Oil and Shea Butter to nourish and protect the lips. The no sharpening precision tip makes it easy to apply this creamy lip color crayon. This product is made with 100% natural ingredients and the packaging is 100% recyclable. Burt's Bees Lip Crayon makes lips look and feel smooth and beautiful.",Moisturizing Gloss Lip Crayon,$0.97,4.30 out of 5 stars,Size 0.10 oz,Makeup,103
